letter,Battery,Petty Theft,Grand Theft,Burglary,Stolen Vehicle,Vandalism,Traffic,Trespassing,Abuse
Feb,1524,2701,1018,2723,1584,1639,3695,190,1171
Mar,1639,2678,975,2578,1573,1738,3797,174,1462
Apr,1545,2622,1012,2275,1484,1540,3581,159,1254
May,1684,2611,1096,2595,1602,1740,3594,175,1246
June,1620,2575,1012,2346,1482,1645,3615,210,1375
July,1736,2796,1086,2520,1722,1792,3209,187,1449
Aug,1767,2726,1077,2474,1855,1793,4072,202,1368
Sept,1765,2708,994,2494,1691,1657,3858,202,1416
Oct,1803,2790,917,2500,1947,1768,4152,181,1365
Nov,3283,2374,252,2440,1695,1281,304,186,1204