date,Battery,Petty Theft,Grand Theft,Burglary,Stolen Vehicle,Vandalism,Traffic,Trespassing,Abuse
20150201,1524,2701,1018,2723,1584,1639,3695,0190,1171
20150301,1639,2678	0975,2578,1573,1738,3797,0174,1462
20150401,1545,2622,1012,2275,1484,1540,3581,0159,1254
20150501,1684,2611,1096,2595,1602,1740,3594,0175,1246
20150601,1620,2575,1012,2346,1482,1645,3615,0210,1375
20150701,1736,2796,1086,2520,1722,1792,3209,0187,1449
20150801,1767,2726,1077,2474,1855,1793,4072,0202,1368
20150901,1765,2708,0994,2494,1691,1657,3858,0202,1416
20151001,1803,2790,0917,2500,1947,1768,4152,0181,1365
20151101,3283,2374,0252,2540,1695,1281,0354,0186,1104